username,wallet,dev,token,symbol,hit,coverage_s,sol_ok,n_buys,n_sells,bought,sold,first_buy_s,last_buy_s,first_buy_sol,buy_sol,buy_tokens,first_sell_s,sell_sol,sell_tokens,buy_supply_share,hold_s,sold_share,closed,entry_mult_vs_dev,remaining_tokens,net_sol_realized,remaining_marked_sol,net_sol_marked
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,Hm9iKMcKg5gvYqh6KX6vAMQDXaYpC3ddM37f3PmNpump,CRIME,False,1800,True,2,1,True,True,1021.0,1557.0,0.9836305007731936,1.970071700950464,11471951.182051,1453.0,2.3110256587797995,18621174.069999,0.011471951182050999,432.0,1.0,True,9.240597470097182,0.0,0.34095395782933546,0.0,0.34095395782933546
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,AFNHhHDorwwitTFyVCWYgWDDJD5FE2dkrQYjdswqpump,Hunter,True,1800,True,1,0,True,False,79.0,79.0,0.009876542,0.009876542,112559.11792,,,0.0,0.00011255911792000001,,0.0,False,2.9418574548996115,112559.11792,-0.009876542,0.03830301491824111,0.02842647291824111
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,6LobFdoniewPebgxCU6sN4pNVv4eCufUmWfeFtoApump,SlowRogan,False,1800,True,1,0,True,False,60.0,60.0,0.098765431,0.098765431,1613722.457809,,,0.0,0.001613722457809,,0.0,False,2.0212700995084396,1613722.457809,-0.098765431,0.08779698614587839,-0.010968444854121615
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,2bRoY87nsBq84TTKJKFD5gYxVLPhrTPKK9MaheSLCCLg,UNC,True,845,True,0,3,False,True,,,,,0.0,327.0,2.100590926164458,13033031.565207,0.0,,,False,,0.0,,,
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,HLto2rcTRb6acW2hjNjJQtvGFPZhEsLXHQyEwW7Cpump,ZEC,True,1800,True,0,1,False,True,,,,,0.0,409.0,2.0566762981456286,7998992.903358,0.0,,,False,,0.0,,,
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,25xAvip3XmRC42aboownYpUifFRgceDDpHzXpBFRpump,ats,False,1800,True,1,0,True,False,48.0,48.0,0.197530863,0.197530863,3151908.236479,,,0.0,0.003151908236479,,0.0,False,2.1010979038070032,3151908.236479,-0.197530863,0.18943304046844786,-0.00809782253155214
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,8K3XJQPz5rcu5qd4LLLeFrF6koccQnMMYoqtWm7Cpump,duve,False,1800,True,1,0,True,False,769.0,769.0,0.888888888,0.888888888,8199622.05785,,,0.0,0.008199622057850001,,0.0,False,3.747654565755109,8199622.05785,-0.888888888,0.5264447734477012,-0.36244411455229875
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,6Ctcp1SNZJbZ72Venhh2fvLgKZhm6rdEfkqX5Jyfpump,fries,False,1800,True,1,2,True,True,335.0,335.0,0.6799966119265873,0.6799966119265873,9430801.785972,1203.0,4.151867463003317,15440400.892986,0.009430801785971998,868.0,1.0,True,1.7691818561954757,0.0,3.4718708510767295,0.0,3.4718708510767295
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,0xkgc,GJ66hdTxR9ZcrZr5HrMw3dTU2dp12HZg8SwFVc5Mpump,ktw,False,1800,True,0,1,False,True,,,,,0.0,1328.0,1.014196578,23250000.0,0.0,,,False,,0.0,,,
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,gampsito,XhQ6ByZ9Z3japZ7UpscuHmPLT76F2ympH78y1Fopump,Biz,True,1070,True,3,1,True,True,552.0,844.0,0.296296296,1.385180303,3289632.9191460004,819.0,0.9024315080000002,1581874.780708,0.0032896329191460004,267.0,0.480866655820875,False,7.504016316021619,1707758.1384380003,-0.4827487949999999,1.488286964994171,1.0055381699941712
LowiqdegN,9cgFTNYYxuJUZcK6Je5Dx94bbjhcFmkwzuPUrx5y7sQa,hashbergers,25NtaXA44vwHcXL32QrS1S1AazoPf7MTXB6aMfMZpump,PINU,True,1800,True,1,0,True,False,1557.0,1557.0,0.990608007,0.990608007,423629.563504,,,0.0,0.00042362956350400005,,0.0,False,44.62835965211016,423629.563504,-0.990608007,1.2089887972573292,0.21838079025732926
SleepyyMike,BpcENgzqyaFwzr3LKmgx7Wp7zk8XsyY31uomBa2Vs6b,0xkgc,HGFnfigHDML7USjvY6tfTn6cQxtfFpnX6cMfkFoFmaMe,RIPASS,False,1800,True,1,0,True,False,1562.0,1562.0,0.2418567262796903,0.2418567262796903,909264.112494,,,0.0,0.000909264112494,,0.0,False,8.12682951408244,909264.112494,-0.2418567262796903,0.23283066656814191,-0.009026059711548379
SleepyyMike,BpcENgzqyaFwzr3LKmgx7Wp7zk8XsyY31uomBa2Vs6b,0xkgc,GJ66hdTxR9ZcrZr5HrMw3dTU2dp12HZg8SwFVc5Mpump,ktw,False,1800,True,2,1,True,True,516.0,808.0,0.493827159,0.987654318,9913532.259745,1242.0,0.49189674199999994,9913532.259745,0.009913532259745,726.0,1.0,True,4.01085991260189,0.0,-0.4957575760000001,0.0,-0.4957575760000001
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,4hcEYuhgESkmmKqVcM1JHNXjxZAvMcxat31FRTfwpump,CHICKY,True,1800,True,2,2,True,True,347.0,1446.0,1.857777777,3.6177777769999997,21443082.555388,1030.0,3.744789807,21443082.555388,0.021443082555387998,683.0,1.0,True,5.243524101585417,0.0,0.1270120300000004,0.0,0.1270120300000004
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,Do6N8m8ssowyAvXs2tkGKkJ8vaNC8H5oRkMdr9shpump,DIRECTOR,True,1800,True,2,0,True,False,206.0,297.0,0.9777777770000001,1.4666666650000002,36026979.663948,,,0.0,0.036026979663948,,0.0,False,1.432446805948228,36026979.663948,-1.4666666650000002,1.6219905735202291,0.15532390852022893
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,47pWDLGYJUW35oGg3Cp4eCbqx986YKWMHwoYPhvdpump,HITLERHAUS,False,1800,True,1,0,True,False,6.0,6.0,1.955555555,1.955555555,34066206.450956,,,0.0,0.034066206450956,,0.0,False,1.9246850485104385,34066206.450956,-1.955555555,3.329517862565774,1.373962307565774
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,FxtFm6peRSecXwFYD181Ndig8FpgCNzQFucyn1Aspump,KIKI,True,1800,True,1,0,True,False,13.0,13.0,0.9327094290000001,0.9327094290000001,12356595.079382,,,0.0,0.012356595079382,,0.0,False,2.4471207448433745,12356595.079382,-0.9327094290000001,4.75691843773003,3.82420900873003
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,2BfDPz5ScKtYstXezVkViGjfHB5hmzeGGGg19U9Qpump,NOOB,False,1800,True,2,0,True,False,110.0,1442.0,2.962962962,3.061728393,30167893.473062,,,0.0,0.030167893473062,,0.0,False,3.0552372086940207,30167893.473062,-3.061728393,6.692547258672677,3.630818865672677
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,24UkJU6YFAecpbxpTaaqHCSb9msttLFFrhaKxB7Npump,PHOUSE,False,1800,True,4,1,True,True,16.0,485.0,1.975308641,3.446913576,64467237.41224599,105.0,2.200953826,33164714.974111,0.06446723741224598,89.0,0.5144429373021518,False,1.996991041849957,31302522.43813499,-1.24595975,2.1454179026444122,0.8994581526444123
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,jester,3vtH9Q8GoKmu8TbaHm5cQCjuFv2L8xEFBqwPSiXhpump,SNEAKERS,True,1800,True,2,0,True,False,949.0,1114.0,0.977777777,1.026666665,10023212.912879,,,0.0,0.010023212912879,,0.0,False,3.317900721151817,10023212.912879,-1.026666665,1.2264014472509612,0.1997347822509612
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,0xkgc,6Ctcp1SNZJbZ72Venhh2fvLgKZhm6rdEfkqX5Jyfpump,fries,False,1800,True,1,1,True,True,424.0,424.0,2.955693402347807,2.955693402347807,17969756.001705,436.0,3.10424061024731,17969756.001705,0.017969756001704997,12.0,1.0,True,4.010770865164707,0.0,0.1485472078995027,0.0,0.1485472078995027
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,0xkgc,Hm9iKMcKg5gvYqh6KX6vAMQDXaYpC3ddM37f3PmNpump,CRIME,False,1800,True,1,2,True,True,169.0,169.0,14.796543830021939,14.796543830021939,186180950.576146,189.0,35.34380073311768,186180950.576146,0.186180950576146,20.0,1.0,True,1.9010412891729696,0.0,20.547256903095743,0.0,20.547256903095743
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,0xkgc,25xAvip3XmRC42aboownYpUifFRgceDDpHzXpBFRpump,ats,False,1800,True,2,2,True,True,316.0,668.0,9.876543209,19.753086418,246119175.673773,322.0,28.00564871,246119175.673773,0.24611917567377298,6.0,1.0,True,2.392887806571645,0.0,8.252562292,0.0,8.252562292
stellanyang,A1ofb9tyBYWJ6ZxFedyWk9VqC88xhmvsbe2T4Gzv6tHw,0xkgc,Hm9iKMcKg5gvYqh6KX6vAMQDXaYpC3ddM37f3PmNpump,CRIME,False,1800,True,1,0,True,False,894.0,894.0,1.9720695388862612,1.9720695388862612,4705033.122535,,,0.0,0.0047050331225349995,,0.0,False,10.247436781531128,4705033.122535,-1.9720695388862612,0.5060446195636841,-1.4660249193225772
stellanyang,A1ofb9tyBYWJ6ZxFedyWk9VqC88xhmvsbe2T4Gzv6tHw,0xkgc,GJ66hdTxR9ZcrZr5HrMw3dTU2dp12HZg8SwFVc5Mpump,ktw,False,1800,True,1,0,True,False,1108.0,1108.0,0.98765432,0.98765432,13470942.809483,,,0.0,0.013470942809483,,0.0,False,2.385247345409385,13470942.809483,-0.98765432,0.7106672842009354,-0.2769870357990646
trenchdigger,BHTp82S8GYKWEwcQBuW5zme3GpcT1bkCcA7N4vyTuJL9,0xkgc,Gwu8vQ3UVFtJ2xneD2G59Z9nEY46GTAUouCLQSRkpump,1trump,False,1800,True,1,1,True,True,852.0,852.0,0.98765432,0.98765432,7576774.521373,857.0,1.049357117,7576774.521373,0.007576774521373,5.0,1.0,True,4.505972790655007,0.0,0.06170279700000003,0.0,0.06170279700000003
trenchdigger,BHTp82S8GYKWEwcQBuW5zme3GpcT1bkCcA7N4vyTuJL9,0xkgc,6vMD867wb8CeBVGQJmidkpEKsAQmPHxfu6MdN5sogGG5,BIKESON,True,1800,True,1,1,True,True,972.0,972.0,1.8902675010283214,1.8902675010283214,17505908.352976,1080.0,1.7328765724048731,17505908.352976,0.017505908352976003,108.0,1.0,True,2.163028561007547,0.0,-0.15739092862344828,0.0,-0.15739092862344828
trenchdigger,BHTp82S8GYKWEwcQBuW5zme3GpcT1bkCcA7N4vyTuJL9,gampsito,XhQ6ByZ9Z3japZ7UpscuHmPLT76F2ympH78y1Fopump,Biz,True,1070,True,1,1,True,True,402.0,402.0,1.975308641,1.975308641,8678840.982988,409.0,2.002472683,8678840.982988,0.008678840982988,7.0,1.0,True,7.189718120430123,0.0,0.02716404200000011,0.0,0.02716404200000011
trenchdigger,BHTp82S8GYKWEwcQBuW5zme3GpcT1bkCcA7N4vyTuJL9,hashbergers,25NtaXA44vwHcXL32QrS1S1AazoPf7MTXB6aMfMZpump,PINU,True,1800,True,3,2,True,True,38.0,789.0,0.987851851,2.9690678649999995,3516622.0026979996,65.0,1.3569946700000002,2367218.664248,0.0035166220026979994,27.0,0.6731512975895158,False,7.964321666132583,1149403.3384499997,-1.6120731949999993,3.2802615290165007,1.6681883340165014
